"","X","has_preview_condition","reread_condition","linear","p_val","context","article_level","filter_type","filler_plot","context_type","exclude_RegimeRepeatedReading","only_RegimeRepeatedReading","Regular","regime_plot"
"1",1,"Gathering",0,"nonlinear",0.003,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"2",2,"Gathering",1,"nonlinear",0.004,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"3",3,"Hunting",0,"nonlinear",0.004,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"4",4,"Hunting",1,"nonlinear",0.048,"P","paragraph","exclude_RegimeRepeatedReading",1,"standard_context",1,0,1,1
"5",1,"Gathering",1,"nonlinear",0.001,"fillP-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"6",2,"Hunting",0,"nonlinear",0,"fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"7",2,"Hunting",1,"nonlinear",0.004,"fillQfr-fillP-fillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"dots_control_context",1,0,1,0
"8",1,"Gathering",1,"nonlinear",0,"textFillP-P","paragraph","exclude_RegimeRepeatedReading",1,"text_control_context",1,0,1,0
"9",2,"Hunting",0,"nonlinear",0,"textFillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"text_control_context",1,0,1,0
"10",2,"Hunting",1,"nonlinear",0.093,"textFillQfr-textFillP-textFillQ-P","paragraph","exclude_RegimeRepeatedReading",1,"text_control_context",1,0,1,0
